date,y_test,y_pred
2024-12-19 00:00:00+01:00,52.91960526315789,52.07396935601849
2024-12-19 06:00:00+01:00,53.50050438596491,52.34404597984534
2024-12-19 12:00:00+01:00,54.08140350877193,53.4436152270326
2024-12-19 18:00:00+01:00,54.662302631578946,54.30241339284898
2024-12-20 00:00:00+01:00,55.243201754385964,54.390725100952864
2024-12-20 06:00:00+01:00,55.82410087719298,54.723904187053165
2024-12-20 12:00:00+01:00,56.405,55.77200433949938
2024-12-20 18:00:00+01:00,77.34,56.573243597401124
2024-12-21 00:00:00+01:00,61.71714285714286,73.2931550009773
2024-12-21 06:00:00+01:00,46.09428571428571,62.41051729908095
2024-12-21 12:00:00+01:00,47.23333333333333,49.786868783510975
2024-12-21 18:00:00+01:00,46.807222222222215,50.19762272404708
2024-12-22 00:00:00+01:00,46.38111111111111,47.03429087370237
2024-12-22 06:00:00+01:00,45.955,44.27175488687015
2024-12-22 12:00:00+01:00,52.992222222222225,46.07262936394729
2024-12-22 18:00:00+01:00,65.52314814814815,53.82491712765717
2024-12-23 00:00:00+01:00,78.05407407407408,62.617682719756495
2024-12-23 06:00:00+01:00,90.58500000000001,72.36903618974473
2024-12-23 12:00:00+01:00,49.7875,87.14576855328185
2024-12-23 18:00:00+01:00,51.0428125,58.348201222500364
2024-12-24 00:00:00+01:00,52.298125,54.481173959929876
2024-12-24 06:00:00+01:00,53.553437499999994,51.93761714338742
2024-12-24 12:00:00+01:00,54.808749999999996,51.398324531546024
2024-12-24 18:00:00+01:00,52.834895833333334,54.86977531846379
2024-12-25 00:00:00+01:00,50.861041666666665,54.830830570330974
2024-12-25 06:00:00+01:00,48.887187499999996,50.98473729850749
2024-12-25 12:00:00+01:00,46.913333333333334,47.92837713776808
2024-12-25 18:00:00+01:00,49.73466666666667,47.878021809027445
2024-12-26 00:00:00+01:00,52.556,50.79998089043517
2024-12-26 06:00:00+01:00,55.37733333333333,51.361802495372494
2024-12-26 12:00:00+01:00,58.19866666666667,53.12321392513232
2024-12-26 18:00:00+01:00,61.019999999999996,57.87565085158159
2024-12-27 00:00:00+01:00,62.75749999999999,61.594226881233105
2024-12-27 06:00:00+01:00,64.495,61.69271244098317
2024-12-27 12:00:00+01:00,66.2325,62.73598791086151
2024-12-27 18:00:00+01:00,67.97,66.26028139506924
2024-12-28 00:00:00+01:00,67.99583333333334,68.64801464481991
2024-12-28 06:00:00+01:00,68.02166666666666,67.30878817504576
2024-12-28 12:00:00+01:00,66.21322115384615,66.92930694013354
2024-12-28 18:00:00+01:00,64.40477564102564,67.11497453209356
2024-12-29 00:00:00+01:00,62.596330128205125,65.88447982857653
2024-12-29 06:00:00+01:00,60.78788461538461,62.60069124734519
2024-12-29 12:00:00+01:00,58.9794391025641,60.37398539861472
2024-12-29 18:00:00+01:00,57.17099358974359,59.9766156475752
2024-12-30 00:00:00+01:00,55.362548076923076,58.524637613587394
2024-12-30 06:00:00+01:00,53.554102564102564,55.38615847353187
2024-12-30 12:00:00+01:00,51.74565705128205,53.2797042853766
2024-12-30 18:00:00+01:00,49.93721153846154,52.72440264915336
2024-12-31 00:00:00+01:00,48.12876602564103,51.1616879176164
2024-12-31 06:00:00+01:00,46.320320512820516,48.17226154331977
2024-12-31 12:00:00+01:00,44.511875,46.16498742553851
2024-12-31 18:00:00+01:00,42.70342948717949,45.46780954445648
2025-01-01 00:00:00+01:00,40.89498397435897,43.81579154902721
2025-01-01 06:00:00+01:00,39.08653846153846,40.97250595131418
2025-01-01 12:00:00+01:00,39.2014,39.03517025297248
2025-01-01 18:00:00+01:00,40.29412173913043,39.777250467148214
2025-01-02 00:00:00+01:00,41.38684347826087,40.60112424717249
2025-01-02 06:00:00+01:00,42.479565217391304,40.6098172728255
2025-01-02 12:00:00+01:00,41.498000000000005,41.69033171386012
2025-01-02 18:00:00+01:00,40.55414285714286,42.04603051274947
2025-01-03 00:00:00+01:00,39.610285714285716,41.255980463040835
2025-01-03 06:00:00+01:00,38.66642857142857,39.49124698241908
2025-01-03 12:00:00+01:00,30.23190476190476,38.50805824280695
2025-01-03 18:00:00+01:00,40.0,32.240091080522234
2025-01-04 00:00:00+01:00,37.529375,39.34794282952771
2025-01-04 06:00:00+01:00,35.058749999999996,37.04017850700356
2025-01-04 12:00:00+01:00,36.25466666666667,34.67238499388695
2025-01-04 18:00:00+01:00,36.90714336917563,36.913096147412716
2025-01-05 00:00:00+01:00,37.55962007168459,37.58092466961336
2025-01-05 06:00:00+01:00,38.21209677419355,36.60497034567763
2025-01-05 12:00:00+01:00,33.67065573770491,37.25553801527266
2025-01-05 18:00:00+01:00,34.6326077011056,35.19462198771295
2025-01-06 00:00:00+01:00,35.59455966450629,35.568114459881016
2025-01-06 06:00:00+01:00,36.55651162790698,34.806414512031104
2025-01-06 12:00:00+01:00,35.42788461538461,35.419557564871326
2025-01-06 18:00:00+01:00,37.638173076923074,36.10501682134209
2025-01-07 00:00:00+01:00,39.848461538461535,38.13578511776695
2025-01-07 06:00:00+01:00,42.058749999999996,38.77145209443459
2025-01-07 12:00:00+01:00,41.4356862745098,40.56940883290529
2025-01-07 18:00:00+01:00,41.88835875090777,41.82688830905196
2025-01-08 00:00:00+01:00,42.341031227305734,42.6606876171848
2025-01-08 06:00:00+01:00,42.793703703703706,41.838553786895595
2025-01-08 12:00:00+01:00,48.24597222222222,41.91545825184627
2025-01-08 18:00:00+01:00,47.172102693602696,47.57517898427796
2025-01-09 00:00:00+01:00,46.098233164983164,47.6200815848877
